business_id,date,score,type
45,2016-06-14,84,Routine - Unscheduled
48,2016-06-30,94,Routine - Unscheduled
116,2016-06-10,,Reinspection/Followup
141,2016-06-27,100,Routine - Unscheduled
178,2016-06-23,66,Routine - Unscheduled
180,2016-06-17,98,Routine - Unscheduled
192,2016-06-28,90,Routine - Unscheduled
226,2016-06-27,,Reinspection/Followup
251,2016-06-16,96,Routine - Unscheduled
253,2016-06-22,94,Routine - Unscheduled
281,2016-06-06,96,Routine - Unscheduled
290,2016-06-15,89,Routine - Unscheduled
379,2016-06-10,74,Routine - Unscheduled
379,2016-06-17,,Reinspection/Followup
400,2016-06-08,100,Routine - Unscheduled
420,2016-06-02,,Reinspection/Followup
429,2016-06-02,87,Routine - Unscheduled
430,2016-06-10,,Reinspection/Followup
436,2016-06-08,79,Routine - Unscheduled
436,2016-06-20,,Non-inspection site visit
436,2016-06-24,,Reinspection/Followup
468,2016-06-10,,Reinspection/Followup
488,2016-06-10,,Reinspection/Followup
505,2016-06-07,,Complaint
505,2016-06-07,90,Routine - Unscheduled
529,2016-06-14,90,Routine - Unscheduled
557,2016-06-29,85,Routine - Unscheduled
588,2016-06-15,83,Routine - Unscheduled
588,2016-06-23,,Reinspection/Followup
588,2016-06-28,,Reinspection/Followup
591,2016-06-15,83,Routine - Unscheduled
591,2016-06-15,,Complaint
591,2016-06-27,,Reinspection/Followup
619,2016-06-14,,Reinspection/Followup
642,2016-06-17,94,Routine - Unscheduled
703,2016-06-17,66,Routine - Unscheduled
703,2016-06-30,,Reinspection/Followup
741,2016-06-10,83,Routine - Unscheduled
741,2016-06-17,,Reinspection/Followup
744,2016-06-24,90,Routine - Unscheduled
744,2016-06-27,,Reinspection/Followup
795,2016-06-07,96,Routine - Unscheduled
796,2016-06-21,,Reinspection/Followup
799,2016-06-08,92,Routine - Unscheduled
821,2016-06-06,85,Routine - Unscheduled
824,2016-06-02,76,Routine - Unscheduled
824,2016-06-09,,Reinspection/Followup
827,2016-06-20,84,Routine - Unscheduled
835,2016-06-13,81,Routine - Unscheduled
843,2016-06-08,,Reinspection/Followup
854,2016-06-14,82,Routine - Unscheduled
854,2016-06-21,,Reinspection/Followup
