business_id,date,score,type
31,2016-09-01,,Reinspection/Followup
66,2016-09-02,100,Routine - Unscheduled
73,2016-09-27,92,Routine - Unscheduled
217,2016-09-12,90,Routine - Unscheduled
234,2016-09-27,81,Routine - Unscheduled
258,2016-09-22,78,Routine - Unscheduled
258,2016-09-22,,Complaint
273,2016-09-20,78,Routine - Unscheduled
273,2016-09-29,,Reinspection/Followup
302,2016-09-02,89,Routine - Unscheduled
302,2016-09-13,,Reinspection/Followup
320,2016-09-20,68,Routine - Unscheduled
320,2016-09-28,,Reinspection/Followup
397,2016-09-09,94,Routine - Unscheduled
413,2016-09-16,,Reinspection/Followup
422,2016-09-27,94,Routine - Unscheduled
423,2016-09-01,85,Routine - Unscheduled
423,2016-09-02,,Reinspection/Followup
447,2016-09-08,96,Routine - Unscheduled
470,2016-09-20,87,Routine - Unscheduled
470,2016-09-27,,Reinspection/Followup
538,2016-09-28,86,Routine - Unscheduled
538,2016-09-30,,Reinspection/Followup
625,2016-09-21,90,Routine - Unscheduled
628,2016-09-14,,Reinspection/Followup
639,2016-09-13,94,Routine - Unscheduled
670,2016-09-14,86,Routine - Unscheduled
691,2016-09-19,90,Routine - Unscheduled
695,2016-09-30,94,Routine - Unscheduled
786,2016-09-16,,Reinspection/Followup
852,2016-09-06,,Reinspection/Followup
905,2016-09-21,,Reinspection/Followup
905,2016-09-21,98,Routine - Unscheduled
905,2016-09-27,,Reinspection/Followup
917,2016-09-02,96,Routine - Unscheduled
935,2016-09-19,100,Routine - Unscheduled
961,2016-09-12,94,Routine - Unscheduled
961,2016-09-23,,Reinspection/Followup
1000,2016-09-19,81,Routine - Unscheduled
1000,2016-09-26,,Reinspection/Followup
1002,2016-09-29,90,Routine - Unscheduled
1003,2016-09-22,,Reinspection/Followup
1031,2016-09-15,80,Routine - Unscheduled
1031,2016-09-16,,Reinspection/Followup
1031,2016-09-22,,Reinspection/Followup
1036,2016-09-13,90,Routine - Unscheduled
1116,2016-09-12,96,Routine - Unscheduled
1144,2016-09-29,79,Routine - Unscheduled
1154,2016-09-12,76,Routine - Unscheduled
1249,2016-09-26,78,Routine - Unscheduled
1269,2016-09-16,100,Routine - Unscheduled
1322,2016-09-27,,Reinspection/Followup
1337,2016-09-09,,Reinspection/Followup
1345,2016-09-13,,Reinspection/Followup
1427,2016-09-19,85,Routine - Unscheduled
1493,2016-09-22,,Reinspection/Followup
1584,2016-09-07,,Reinspection/Followup
1594,2016-09-21,76,Routine - Unscheduled
1607,2016-09-12,88,Routine - Unscheduled
1607,2016-09-22,,Complaint Reinspection/Followup
1617,2016-09-19,,Complaint
