business_id,date,score,type
54,2015-05-26,100,Routine - Unscheduled
234,2015-05-05,82,Routine - Unscheduled
234,2015-05-13,,Reinspection/Followup
258,2015-05-28,98,Routine - Unscheduled
273,2015-05-19,80,Routine - Unscheduled
273,2015-05-26,,Reinspection/Followup
315,2015-05-18,89,Routine - Unscheduled
315,2015-05-19,,Reinspection/Followup
424,2015-05-05,81,Routine - Unscheduled
557,2015-05-07,90,Routine - Unscheduled
941,2015-05-07,,Reinspection/Followup
1103,2015-05-19,,Complaint
1103,2015-05-19,100,Routine - Unscheduled
1111,2015-05-13,94,Routine - Unscheduled
1139,2015-05-01,79,Routine - Unscheduled
1139,2015-05-11,,Reinspection/Followup
1265,2015-05-04,,New Construction
1265,2015-05-05,,New Construction
1352,2015-05-21,79,Routine - Unscheduled
1399,2015-05-20,100,Routine - Unscheduled
1465,2015-05-28,,Complaint
1465,2015-05-28,87,Routine - Unscheduled
1509,2015-05-12,,Non-inspection site visit
1534,2015-05-27,,Reinspection/Followup
1534,2015-05-27,96,Routine - Unscheduled
1609,2015-05-29,,Reinspection/Followup
1613,2015-05-22,98,Routine - Unscheduled
1754,2015-05-04,84,Routine - Unscheduled
1754,2015-05-12,,Reinspection/Followup
1797,2015-05-06,,Reinspection/Followup
1830,2015-05-07,,Reinspection/Followup
1963,2015-05-27,90,Routine - Unscheduled
2007,2015-05-26,96,Routine - Unscheduled
2048,2015-05-18,87,Routine - Unscheduled
2054,2015-05-21,92,Routine - Unscheduled
2057,2015-05-13,90,Routine - Unscheduled
2066,2015-05-27,,Complaint
2072,2015-05-11,,Complaint
2109,2015-05-28,73,Routine - Unscheduled
2109,2015-05-29,,Reinspection/Followup
2136,2015-05-28,94,Routine - Unscheduled
2136,2015-05-28,,Complaint
2145,2015-05-12,87,Routine - Unscheduled
2337,2015-05-04,89,Routine - Unscheduled
2347,2015-05-20,91,Routine - Unscheduled
2418,2015-05-04,,Reinspection/Followup
2421,2015-05-14,78,Routine - Unscheduled
2428,2015-05-14,,Reinspection/Followup
2428,2015-05-29,,Reinspection/Followup
2469,2015-05-20,94,Routine - Unscheduled
2483,2015-05-22,96,Routine - Unscheduled
2553,2015-05-27,92,Routine - Unscheduled
2555,2015-05-07,92,Routine - Unscheduled
2579,2015-05-07,88,Routine - Unscheduled
2592,2015-05-06,,Complaint
2648,2015-05-18,88,Routine - Unscheduled
2724,2015-05-07,92,Routine - Unscheduled
2725,2015-05-18,92,Routine - Unscheduled
2725,2015-05-26,,Reinspection/Followup
2733,2015-05-27,98,Routine - Unscheduled
2810,2015-05-11,96,Routine - Unscheduled
2861,2015-05-07,,Reinspection/Followup
