business_id,date,score,type
10,2014-07-29,94,Routine - Unscheduled
58,2014-07-25,78,Routine - Unscheduled
132,2014-07-17,,Reinspection/Followup
140,2014-07-09,96,Routine - Unscheduled
178,2014-07-30,90,Routine - Unscheduled
240,2014-07-24,79,Routine - Unscheduled
415,2014-07-29,87,Routine - Unscheduled
423,2014-07-16,88,Routine - Unscheduled
423,2014-07-25,,Reinspection/Followup
496,2014-07-16,,Complaint Reinspection/Followup
529,2014-07-21,86,Routine - Unscheduled
529,2014-07-29,,Reinspection/Followup
538,2014-07-14,96,Routine - Unscheduled
606,2014-07-21,,Non-inspection site visit
615,2014-07-08,96,Routine - Unscheduled
786,2014-07-17,,Reinspection/Followup
856,2014-07-29,96,Routine - Unscheduled
952,2014-07-21,,Reinspection/Followup
972,2014-07-28,76,Routine - Unscheduled
972,2014-07-30,,Reinspection/Followup
1065,2014-07-16,89,Routine - Unscheduled
1207,2014-07-10,,Complaint
1243,2014-07-29,92,Routine - Unscheduled
1244,2014-07-21,79,Routine - Unscheduled
1244,2014-07-31,,Reinspection/Followup
1318,2014-07-08,,Complaint
1482,2014-07-30,96,Routine - Unscheduled
1490,2014-07-14,,Reinspection/Followup
1613,2014-07-14,,Reinspection/Followup
1626,2014-07-16,94,Routine - Unscheduled
1652,2014-07-29,,Non-inspection site visit
1692,2014-07-31,98,Routine - Unscheduled
1703,2014-07-01,94,Routine - Unscheduled
1836,2014-07-17,,Reinspection/Followup
1837,2014-07-31,88,Routine - Unscheduled
1850,2014-07-17,,Reinspection/Followup
1870,2014-07-29,94,Routine - Unscheduled
1930,2014-07-09,,Complaint
1939,2014-07-21,,New Construction
1939,2014-07-30,,New Construction
1954,2014-07-14,91,Routine - Unscheduled
1968,2014-07-10,,Complaint
1968,2014-07-10,96,Routine - Unscheduled
2066,2014-07-21,79,Routine - Unscheduled
2136,2014-07-09,96,Routine - Unscheduled
2219,2014-07-31,96,Routine - Unscheduled
2245,2014-07-03,98,Routine - Unscheduled
2249,2014-07-03,89,Routine - Unscheduled
2249,2014-07-11,,Reinspection/Followup
2360,2014-07-30,80,Routine - Unscheduled
2517,2014-07-02,,Complaint
2592,2014-07-21,,Complaint
2592,2014-07-21,96,Routine - Unscheduled
2592,2014-07-21,,Complaint
2622,2014-07-15,,Complaint
2724,2014-07-24,90,Routine - Unscheduled
2768,2014-07-16,100,Routine - Unscheduled
2785,2014-07-21,,Reinspection/Followup
2808,2014-07-15,92,Routine - Unscheduled
2808,2014-07-15,,Complaint
2810,2014-07-01,100,Routine - Unscheduled
2810,2014-07-30,,Non-inspection site visit
2862,2014-07-21,88,Routine - Unscheduled
2862,2014-07-28,,Reinspection/Followup
2928,2014-07-16,94,Routine - Unscheduled
2934,2014-07-22,,Non-inspection site visit
2949,2014-07-10,,Complaint
2969,2014-07-31,74,Routine - Unscheduled
2974,2014-07-02,96,Routine - Unscheduled
3029,2014-07-14,81,Routine - Unscheduled
3029,2014-07-15,,Reinspection/Followup
3029,2014-07-22,,Reinspection/Followup
3048,2014-07-02,,Complaint Reinspection/Followup
3048,2014-07-18,,Complaint
3048,2014-07-30,,Complaint
3065,2014-07-08,,Reinspection/Followup
3112,2014-07-14,90,Routine - Unscheduled
3112,2014-07-21,,Reinspection/Followup
3112,2014-07-28,,Reinspection/Followup
3115,2014-07-09,,Reinspection/Followup
3115,2014-07-25,,Non-inspection site visit
3115,2014-07-30,,Non-inspection site visit
3206,2014-07-21,,Non-inspection site visit
3280,2014-07-10,,Complaint
3286,2014-07-02,,Reinspection/Followup
3432,2014-07-09,89,Routine - Unscheduled
3481,2014-07-11,80,Routine - Unscheduled
3515,2014-07-30,100,Routine - Unscheduled
3524,2014-07-23,,Non-inspection site visit
3548,2014-07-29,94,Routine - Unscheduled
3591,2014-07-18,,Reinspection/Followup
3607,2014-07-02,96,Routine - Unscheduled
3613,2014-07-11,,Reinspection/Followup
