business_id,date,score,type
73,2015-07-17,85,Routine - Unscheduled
73,2015-07-20,,Reinspection/Followup
267,2015-07-30,69,Routine - Unscheduled
393,2015-07-07,90,Routine - Unscheduled
403,2015-07-23,81,Routine - Unscheduled
447,2015-07-23,87,Routine - Unscheduled
489,2015-07-28,72,Routine - Unscheduled
522,2015-07-09,,Reinspection/Followup
522,2015-07-09,,Complaint
744,2015-07-23,100,Routine - Unscheduled
765,2015-07-01,,Non-inspection site visit
811,2015-07-13,67,Routine - Unscheduled
811,2015-07-13,,Reinspection/Followup
830,2015-07-30,84,Routine - Unscheduled
949,2015-07-08,96,Routine - Unscheduled
1151,2015-07-21,,Complaint
1204,2015-07-08,96,Routine - Unscheduled
1207,2015-07-21,56,Routine - Unscheduled
1207,2015-07-24,,Reinspection/Followup
1243,2015-07-28,91,Routine - Unscheduled
1359,2015-07-24,100,Routine - Unscheduled
1413,2015-07-10,100,Routine - Unscheduled
1520,2015-07-30,100,Routine - Unscheduled
1526,2015-07-09,,Complaint
1526,2015-07-09,,Reinspection/Followup
1565,2015-07-13,,Complaint
1565,2015-07-13,89,Routine - Unscheduled
1565,2015-07-20,,Reinspection/Followup
1626,2015-07-06,94,Routine - Unscheduled
1664,2015-07-23,100,Routine - Unscheduled
1674,2015-07-01,100,Routine - Unscheduled
1702,2015-07-28,74,Routine - Unscheduled
1702,2015-07-28,,Complaint
1702,2015-07-28,,Non-inspection site visit
1726,2015-07-23,100,Routine - Unscheduled
1797,2015-07-31,,Reinspection/Followup
1798,2015-07-31,,New Construction
1856,2015-07-29,83,Routine - Unscheduled
2053,2015-07-30,90,Routine - Unscheduled
2066,2015-07-08,,Complaint
2156,2015-07-23,85,Routine - Unscheduled
2189,2015-07-01,76,Routine - Unscheduled
2189,2015-07-07,,Reinspection/Followup
2360,2015-07-13,92,Routine - Unscheduled
2418,2015-07-31,,Reinspection/Followup
2420,2015-07-27,85,Routine - Unscheduled
2505,2015-07-23,92,Routine - Unscheduled
2535,2015-07-31,,New Construction
2580,2015-07-02,,Reinspection/Followup
2601,2015-07-02,,New Construction
2627,2015-07-20,86,Routine - Unscheduled
2652,2015-07-27,92,Routine - Unscheduled
2667,2015-07-13,100,Routine - Unscheduled
2689,2015-07-14,85,Routine - Unscheduled
2737,2015-07-02,,Reinspection/Followup
2737,2015-07-20,,Reinspection/Followup
2797,2015-07-21,,Reinspection/Followup
2808,2015-07-07,,Reinspection/Followup
2808,2015-07-21,,Reinspection/Followup
2826,2015-07-01,85,Routine - Unscheduled
2826,2015-07-14,,Reinspection/Followup
2862,2015-07-17,,Foodborne Illness Investigation
2862,2015-07-17,79,Routine - Unscheduled
2862,2015-07-31,,Reinspection/Followup
2944,2015-07-08,76,Routine - Unscheduled
2944,2015-07-16,,Reinspection/Followup
2944,2015-07-23,,Reinspection/Followup
3061,2015-07-09,92,Routine - Unscheduled
3061,2015-07-21,,Complaint
3070,2015-07-02,,Reinspection/Followup
3070,2015-07-20,,Reinspection/Followup
3084,2015-07-15,89,Routine - Unscheduled
3084,2015-07-22,,Reinspection/Followup
3120,2015-07-23,79,Routine - Unscheduled
3165,2015-07-20,,Reinspection/Followup
3165,2015-07-20,,Complaint
3200,2015-07-02,92,Routine - Unscheduled
3210,2015-07-16,86,Routine - Unscheduled
3210,2015-07-23,,Reinspection/Followup
3217,2015-07-09,71,Routine - Unscheduled
3217,2015-07-09,,Complaint
3217,2015-07-10,,Reinspection/Followup
3217,2015-07-21,,Reinspection/Followup
3267,2015-07-14,94,Routine - Unscheduled
3267,2015-07-14,,Complaint
3665,2015-07-22,,Reinspection/Followup
3741,2015-07-20,,Complaint
3867,2015-07-09,,Non-inspection site visit
3875,2015-07-28,,Complaint
4037,2015-07-07,86,Routine - Unscheduled
4085,2015-07-22,98,Routine - Unscheduled
4085,2015-07-22,,Complaint
4544,2015-07-13,86,Routine - Unscheduled
4800,2015-07-30,96,Routine - Unscheduled
4828,2015-07-06,,Reinspection/Followup
4859,2015-07-23,96,Routine - Unscheduled
4920,2015-07-29,91,Routine - Unscheduled
4935,2015-07-28,,Complaint
4957,2015-07-08,88,Routine - Unscheduled
5143,2015-07-13,94,Routine - Unscheduled
5143,2015-07-29,,Reinspection/Followup
5257,2015-07-14,,New Construction
5271,2015-07-02,,Reinspection/Followup
5345,2015-07-15,100,Routine - Unscheduled
5409,2015-07-15,100,Routine - Unscheduled
5420,2015-07-15,100,Routine - Unscheduled
6640,2015-07-27,82,Routine - Unscheduled
6640,2015-07-30,,Reinspection/Followup
7467,2015-07-30,89,Routine - Unscheduled
7527,2015-07-21,96,Routine - Unscheduled
7541,2015-07-08,100,Routine - Unscheduled
7610,2015-07-27,98,Routine - Unscheduled
7641,2015-07-27,89,Routine - Unscheduled
7678,2015-07-06,90,Routine - Unscheduled
