business_id,date,score,type
108,2015-04-17,94,Routine - Unscheduled
194,2015-04-20,80,Routine - Unscheduled
194,2015-04-29,,Reinspection/Followup
226,2015-04-30,,Non-inspection site visit
302,2015-04-08,69,Routine - Unscheduled
302,2015-04-17,,Reinspection/Followup
302,2015-04-20,,Reinspection/Followup
302,2015-04-20,,Reinspection/Followup
302,2015-04-22,,Reinspection/Followup
320,2015-04-29,84,Routine - Unscheduled
335,2015-04-01,76,Routine - Unscheduled
385,2015-04-10,90,Routine - Unscheduled
385,2015-04-13,,Non-inspection site visit
409,2015-04-14,98,Routine - Unscheduled
428,2015-04-27,100,Routine - Unscheduled
438,2015-04-21,89,Routine - Unscheduled
619,2015-04-23,93,Routine - Unscheduled
729,2015-04-30,92,Routine - Unscheduled
795,2015-04-06,96,Routine - Unscheduled
799,2015-04-30,100,Routine - Unscheduled
852,2015-04-07,,Reinspection/Followup
891,2015-04-07,82,Routine - Unscheduled
993,2015-04-10,96,Routine - Unscheduled
1000,2015-04-22,,Reinspection/Followup
1002,2015-04-22,,Reinspection/Followup
1003,2015-04-07,98,Routine - Unscheduled
1249,2015-04-01,,Reinspection/Followup
1259,2015-04-24,92,Routine - Unscheduled
1265,2015-04-29,,New Construction
1289,2015-04-09,,Reinspection/Followup
1347,2015-04-10,78,Routine - Unscheduled
1465,2015-04-30,,Complaint
1469,2015-04-14,100,Routine - Unscheduled
1516,2015-04-19,92,Routine - Unscheduled
1517,2015-04-19,100,Routine - Unscheduled
1564,2015-04-08,100,Routine - Unscheduled
1579,2015-04-08,94,Routine - Unscheduled
1579,2015-04-22,,Reinspection/Followup
1584,2015-04-22,,Reinspection/Followup
1596,2015-04-07,81,Routine - Unscheduled
1596,2015-04-09,,Reinspection/Followup
1623,2015-04-27,98,Routine - Unscheduled
1623,2015-04-27,,Complaint
1668,2015-04-01,98,Routine - Unscheduled
1671,2015-04-21,,Reinspection/Followup
1687,2015-04-01,92,Routine - Unscheduled
1687,2015-04-24,,Reinspection/Followup
1699,2015-04-30,100,Routine - Unscheduled
1734,2015-04-06,86,Routine - Unscheduled
1797,2015-04-22,70,Routine - Unscheduled
1830,2015-04-23,84,Routine - Unscheduled
1833,2015-04-28,,Non-inspection site visit
1833,2015-04-28,,Non-inspection site visit
1865,2015-04-06,96,Routine - Unscheduled
1882,2015-04-27,100,Routine - Unscheduled
1936,2015-04-29,94,Routine - Unscheduled
1992,2015-04-01,80,Routine - Unscheduled
1992,2015-04-01,,Non-inspection site visit
1992,2015-04-01,,Non-inspection site visit
1992,2015-04-02,,Reinspection/Followup
2002,2015-04-27,100,Routine - Unscheduled
2004,2015-04-28,,New Construction
2104,2015-04-08,80,Routine - Unscheduled
2168,2015-04-03,92,Routine - Unscheduled
2168,2015-04-09,,Reinspection/Followup
2256,2015-04-13,,Complaint
2397,2015-04-02,60,Routine - Unscheduled
2397,2015-04-09,,Reinspection/Followup
2397,2015-04-24,,Reinspection/Followup
2418,2015-04-20,82,Routine - Unscheduled
2427,2015-04-27,88,Routine - Unscheduled
2428,2015-04-28,74,Routine - Unscheduled
2559,2015-04-13,73,Routine - Unscheduled
2561,2015-04-29,100,Routine - Unscheduled
2643,2015-04-02,85,Routine - Unscheduled
2643,2015-04-22,,Reinspection/Followup
2643,2015-04-22,,Reinspection/Followup
2643,2015-04-30,,Reinspection/Followup
2721,2015-04-22,77,Routine - Unscheduled
2721,2015-04-30,,Reinspection/Followup
2808,2015-04-22,83,Routine - Unscheduled
2808,2015-04-22,,Complaint
2869,2015-04-14,96,Routine - Unscheduled
2952,2015-04-21,96,Routine - Unscheduled
2972,2015-04-27,98,Routine - Unscheduled
3014,2015-04-28,74,Routine - Unscheduled
3032,2015-04-29,100,Routine - Unscheduled
3038,2015-04-14,82,Routine - Unscheduled
3121,2015-04-07,,Reinspection/Followup
3155,2015-04-14,,Complaint
3206,2015-04-23,90,Routine - Unscheduled
3229,2015-04-29,,Reinspection/Followup
3331,2015-04-29,,Non-inspection site visit
3331,2015-04-29,,Complaint
3414,2015-04-14,98,Routine - Unscheduled
3459,2015-04-07,54,Routine - Unscheduled
3459,2015-04-27,,Reinspection/Followup
3482,2015-04-10,100,Routine - Unscheduled
3482,2015-04-24,,Reinspection/Followup
3541,2015-04-01,,Reinspection/Followup
3578,2015-04-02,,Reinspection/Followup
3633,2015-04-02,90,Routine - Unscheduled
3640,2015-04-02,,Complaint
3645,2015-04-29,92,Routine - Unscheduled
3646,2015-04-08,98,Routine - Unscheduled
3678,2015-04-23,,Complaint
3731,2015-04-02,80,Routine - Unscheduled
3731,2015-04-30,,Reinspection/Followup
3757,2015-04-22,96,Routine - Unscheduled
3776,2015-04-17,83,Routine - Unscheduled
3803,2015-04-08,,Complaint
3834,2015-04-20,85,Routine - Unscheduled
3953,2015-04-01,79,Routine - Unscheduled
3953,2015-04-09,,Reinspection/Followup
4140,2015-04-08,88,Routine - Unscheduled
4140,2015-04-17,,Reinspection/Followup
4171,2015-04-27,100,Routine - Unscheduled
4447,2015-04-21,92,Routine - Unscheduled
4447,2015-04-28,,Reinspection/Followup
4500,2015-04-28,83,Routine - Unscheduled
4509,2015-04-20,96,Routine - Unscheduled
4532,2015-04-21,79,Routine - Unscheduled
4532,2015-04-22,,Reinspection/Followup
4588,2015-04-14,81,Routine - Unscheduled
4588,2015-04-29,,Reinspection/Followup
4610,2015-04-20,,Complaint
4610,2015-04-20,92,Routine - Unscheduled
4618,2015-04-01,100,Routine - Unscheduled
4665,2015-04-23,88,Routine - Unscheduled
4716,2015-04-07,88,Routine - Unscheduled
4732,2015-04-23,,Reinspection/Followup
4739,2015-04-14,82,Routine - Unscheduled
4780,2015-04-29,79,Routine - Unscheduled
4806,2015-04-07,96,Routine - Unscheduled
4841,2015-04-13,,Reinspection/Followup
