business_id,date,score,type
45,2016-01-04,78,Routine - Unscheduled
180,2016-01-06,88,Routine - Unscheduled
323,2016-01-12,100,Routine - Unscheduled
328,2016-01-05,90,Routine - Unscheduled
386,2016-01-27,90,Routine - Unscheduled
522,2016-01-04,,Complaint
835,2016-01-06,77,Routine - Unscheduled
835,2016-01-13,,Reinspection/Followup
1154,2016-01-05,88,Routine - Unscheduled
1154,2016-01-14,,Reinspection/Followup
1193,2016-01-28,83,Routine - Unscheduled
1193,2016-01-28,,Complaint
1318,2016-01-08,88,Routine - Unscheduled
1318,2016-01-29,,Foodborne Illness Investigation
1318,2016-01-29,,Reinspection/Followup
1337,2016-01-07,88,Routine - Unscheduled
1797,2016-01-13,85,Routine - Unscheduled
1973,2016-01-13,90,Routine - Unscheduled
1973,2016-01-29,,Non-inspection site visit
2004,2016-01-14,,New Construction
2032,2016-01-26,90,Routine - Unscheduled
2077,2016-01-20,96,Routine - Unscheduled
2104,2016-01-27,85,Routine - Unscheduled
2106,2016-01-29,100,Routine - Unscheduled
2115,2016-01-27,62,Routine - Unscheduled
2115,2016-01-28,,Reinspection/Followup
2115,2016-01-28,,Reinspection/Followup
2256,2016-01-19,,New Construction
2292,2016-01-26,67,Routine - Unscheduled
2334,2016-01-05,90,Routine - Unscheduled
2418,2016-01-13,86,Routine - Unscheduled
2421,2016-01-20,85,Routine - Unscheduled
2427,2016-01-19,88,Routine - Unscheduled
2428,2016-01-20,86,Routine - Unscheduled
2749,2016-01-04,92,Routine - Unscheduled
2764,2016-01-06,,Complaint
2862,2016-01-06,,Foodborne Illness Investigation
2862,2016-01-27,100,Routine - Unscheduled
3076,2016-01-22,,Complaint
3309,2016-01-15,86,Routine - Unscheduled
3328,2016-01-26,,New Construction
3331,2016-01-12,,Reinspection/Followup
3365,2016-01-11,100,Routine - Unscheduled
3459,2016-01-13,77,Routine - Unscheduled
3481,2016-01-05,,Complaint
3481,2016-01-05,83,Routine - Unscheduled
3481,2016-01-12,,Reinspection/Followup
3492,2016-01-14,100,Routine - Unscheduled
3519,2016-01-29,,New Construction
3676,2016-01-07,76,Routine - Unscheduled
3869,2016-01-27,94,Routine - Unscheduled
3911,2016-01-04,94,Routine - Unscheduled
3951,2016-01-20,84,Routine - Unscheduled
3951,2016-01-29,,Reinspection/Followup
4449,2016-01-06,86,Routine - Unscheduled
4654,2016-01-13,,Reinspection/Followup
4702,2016-01-27,96,Routine - Unscheduled
4859,2016-01-13,,Complaint Reinspection/Followup
4884,2016-01-20,94,Routine - Unscheduled
4884,2016-01-20,,Complaint
5297,2016-01-19,,Structural Inspection
5968,2016-01-08,100,Routine - Unscheduled
6654,2016-01-21,70,Routine - Unscheduled
6864,2016-01-28,77,Routine - Unscheduled
7772,2016-01-29,92,Routine - Unscheduled
8948,2016-01-15,,New Construction
8948,2016-01-22,,New Construction
10238,2016-01-28,64,Routine - Unscheduled
10238,2016-01-28,,Complaint
10238,2016-01-28,,Complaint
17570,2016-01-27,78,Routine - Unscheduled
27306,2016-01-29,,Non-inspection site visit
27874,2016-01-08,98,Routine - Unscheduled
28976,2016-01-27,96,Routine - Unscheduled
32170,2016-01-20,85,Routine - Unscheduled
32556,2016-01-04,96,Routine - Unscheduled
